date,n_pos,R_t
2022-02-03,13217.668202764977,1.2144447986188407
2022-02-04,13650.73271889401,1.2015247610938882
2022-02-05,14071.41935483871,1.1894882819964538
2022-02-06,14480.709677419354,1.179788899120956
2022-02-07,14881.10138248848,1.1710225249946837
2022-02-08,15282.437788018433,1.1646415674316863
2022-02-09,15695.460829493086,1.1610607049797672
2022-02-10,16114.963133640553,1.1581052131822194
2022-02-11,16535.456221198157,1.15502673572446
2022-02-12,16928.917050691245,1.1497177161521814
2022-02-13,17285.815668202766,1.1420545041616692
2022-02-14,17577.368663594472,1.131322833039329
2022-02-15,17812.857142857145,1.1197008506619976
2022-02-16,18000.92165898617,1.1081640463056768
2022-02-17,18120.83410138249,1.0944147028949447
2022-02-18,18183.317972350233,1.0800356331564622
2022-02-19,18206.57603686636,1.0669665794704897
2022-02-20,18194.391705069123,1.0557019169935367
2022-02-21,18157.94470046083,1.0467845154874087
2022-02-22,18108.350230414748,1.0405930756155937
2022-02-23,18043.654377880182,1.036168648507218
2022-02-24,17941.95391705069,1.0312448348964078
2022-02-25,17811.658986175113,1.0261965144612963
2022-02-26,17656.36866359447,1.0212979248405363
2022-02-27,17486.497695852537,1.0171987894374799
2022-02-28,17293.0599078341,1.0129867082756514
2022-03-01,17079.447004608297,1.0086141115614935
2022-03-02,16839.488479262673,1.0035238793787233
2022-03-03,16572.124423963134,0.997683583215521
2022-03-04,16276.497695852535,0.9910789669308796
2022-03-05,15977.382488479263,0.9856756072336111
2022-03-06,15677.207373271889,0.9815257702497105
2022-03-07,15357.00921658986,0.9766236622707817
2022-03-08,15013.31797235023,0.9706476196154404
2022-03-09,14653.645161290322,0.9642662907941342
2022-03-10,14272.488479262673,0.957509295905979
2022-03-11,13868.493087557605,0.9503838773118939
2022-03-12,13440.663594470047,0.9434341586776648
2022-03-13,12987.294930875576,0.9368315358995433
2022-03-14,12500.01382488479,0.9285868248766488
2022-03-15,12007.41013824885,0.9208402978224719
2022-03-16,11517.801843317971,0.914085756248118
2022-03-17,11061.082949308755,0.9099140774108503
2022-03-18,10636.31797235023,0.9077231963193881
2022-03-19,10240.09677419355,0.9077111266145629
2022-03-20,9867.566820276497,0.9087853199288026
2022-03-21,9504.976958525347,0.9081194708258369
2022-03-22,9141.778801843317,0.9057872618393523
2022-03-23,8773.843317972349,0.9020378985207117
2022-03-24,8391.041474654377,0.8966113108863253
2022-03-25,7995.133640552995,0.8901262982211168
2022-03-26,7592.138248847926,0.8841405041828235
2022-03-27,7189.198156682027,0.879505090754246
2022-03-28,6783.05069124424,0.873742325708263
2022-03-29,6377.963133640554,0.8677220734605321
2022-03-30,5973.20737327189,0.8612701996264092
2022-03-31,5585.198156682028,0.8559063174076798
2022-04-01,5220.299539170507,0.8521558107317608
2022-04-02,4885.815668202766,0.8510971624775425
2022-04-03,4579.626728110599,0.8524093780771489
2022-04-04,4297.622119815669,0.8534134965480623
2022-04-05,4024.8202764976954,0.8536998915227353
2022-04-06,3761.4377880184334,0.8524819340717348
2022-04-07,3522.847926267281,0.8520674995528543
2022-04-08,3304.626728110599,0.8523667913221374
2022-04-09,3103.7096774193546,0.8541988233449136
2022-04-10,2916.0230414746543,0.8568436166870667
2022-04-11,2738.589861751152,0.8577147429538038
2022-04-12,2565.7188940092165,0.8565388867276643
2022-04-13,2395.0783410138247,0.8526360469318118
2022-04-14,2241.1797235023046,0.8489340420070932
2022-04-15,2097.907834101383,0.844568375218041
2022-04-16,1966.516129032258,0.8430293386017731
2022-04-17,1844.1428571428569,0.8434366780295263
2022-04-18,1727.4516129032259,0.8406207544021611
2022-04-19,1615.5714285714284,0.8423053779965823
2022-04-20,1509.0184331797234,0.8470987199612248
2022-04-21,1416.0552995391706,0.8570397176835977
2022-04-22,1331.6175115207373,0.8688371515163625
2022-04-23,1252.3963133640552,0.8773287607907533
2022-04-24,1178.691244239631,0.8836771121363289
2022-04-25,1111.078341013825,0.8905615545535297
2022-04-26,1042.5483870967741,0.8893699402173226
2022-04-27,974.6129032258065,0.8848097063248694
2022-04-28,914.1428571428572,0.8814889447475045
2022-04-29,858.5345622119816,0.879352589291506
2022-04-30,808.5806451612904,0.8799594961654693
2022-05-01,763.1797235023041,0.8826740812955678
2022-05-02,720.9953917050691,0.8852529562233998
2022-05-03,680.741935483871,0.8880212736564109
2022-05-04,641.3870967741935,0.889110764600505
2022-05-05,606.4331797235023,0.8916589806974474
2022-05-06,573.6267281105991,0.8947188465650027
2022-05-07,544.184331797235,0.8992517522997374
2022-05-08,517.2626728110599,0.9046814932679648
2022-05-09,492.5760368663594,0.9105230527766263
2022-05-10,468.4285714285714,0.9146135345998369
2022-05-11,445.14746543778807,0.9180406533854373
2022-05-12,424.94930875576034,0.923005629322393
2022-05-13,407.036866359447,0.9286960360974598
2022-05-14,392.13364055299536,0.9361532571680529
2022-05-15,379.93087557603684,0.9447213628099757
2022-05-16,370.31336405529953,0.9538019983923349
2022-05-17,359.7557603686636,0.9562653554979408
2022-05-18,350.00921658986175,0.9589440889011539
2022-05-19,343.46082949308754,0.9662020817699812
2022-05-20,335.02764976958525,0.9687829307625261
2022-05-21,325.741935483871,0.968036999669644
2022-05-22,315.2718894009217,0.9642032635391239
2022-05-23,303.88479262672814,0.959576430306343
2022-05-24,294.4884792626728,0.9632424411409609
2022-05-25,285.17050691244236,0.9663031232175932
2022-05-26,274.2304147465438,0.9631979629135309
2022-05-27,267.1059907834101,0.9676698262453742
2022-05-28,261.51612903225805,0.9747441359248745
2022-05-29,257.02764976958525,0.9830573120597814
2022-05-30,253.7188940092166,0.9924637979032217
2022-05-31,250.70967741935485,1.0004241768355362
2022-06-01,247.9815668202765,1.006546843041282
2022-06-02,246.99539170506912,1.0168165613939928
2022-06-03,245.96774193548387,1.023996354487583
2022-06-04,245.51612903225808,1.0303743729349155
2022-06-05,245.27188940092165,1.0350253582208118
2022-06-06,243.52073732718893,1.0319127345915104
2022-06-07,242.8294930875576,1.0325113452432497
2022-06-08,242.6267281105991,1.0352224779984054
2022-06-09,242.82488479262673,1.039416194068507
2022-06-10,243.74654377880182,1.0453231042200455
2022-06-11,244.74654377880185,1.049925277374356
2022-06-12,246.04608294930875,1.0539319078355356
